2015-05-04T15:31:30.037+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:30.037+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:32.040+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:32.041+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:32.041+0200 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:32.041+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:32.042+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:32.042+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:34.044+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:34.044+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:34.044+0200 W NETWORK  [ReplExecNetThread-1] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:34.045+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:34.045+0200 W NETWORK  [ReplExecNetThread-0] Failed to connect to 127.0.0.1:27003, reason: errno:61 Connection refused
2015-05-04T15:31:34.045+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; Location18915 Failed attempt to connect to localhost:27003; couldn't connect to server localhost:27003 (127.0.0.1), connection attempt failed
2015-05-04T15:31:34.988+0200 I NETWORK  [conn1] end connection 127.0.0.1:60458 (0 connections now open)
